instances,class,map
1033,0,0.8038
1017,1,0.9373
1027,2,0.9860
978,3,0.9930
1036,4,0.9924
964,5,0.9923
1009,6,0.9959
975,7,0.9846
1004,8,0.9935
1005,9,0.9913
818,A,0.9929
850,B,0.9938
809,C,0.9780
866,D,0.9926
846,E,0.9879
845,F,0.9809
833,G,0.9976
836,H,0.9986
810,I,0.7304
872,J,0.9588
818,K,0.9913
854,L,0.9877
860,M,0.9946
859,N,0.9753
830,O,0.8065
888,P,0.9564
829,Q,0.9953
828,R,0.9957
821,S,0.9617
804,T,0.9907
782,U,0.9923
870,V,0.9794
878,W,0.9799
832,X,0.9806
853,Y,0.9872
885,Z,0.9887
817,a,0.9929
804,b,0.9929
779,c,0.9787
819,d,0.9953
768,e,0.9893
809,f,0.9682
801,g,0.9857
778,h,0.9939
772,i,0.8633
829,j,0.8831
805,k,0.9940
774,l,0.5713
798,m,0.9983
804,n,0.9600
756,o,0.9266
763,p,0.9533
796,q,0.9899
757,r,0.9635
749,s,0.9648
776,t,0.9586
822,u,0.9940
834,v,0.9750
759,w,0.9865
756,x,0.9826
722,y,0.9862
798,z,0.9755
